,school,sex,age,Fjob,Mjob,goout,internet,romantic,studytime,failures,health,absences,G1,G2,G3
0,GP,F,18,teacher,at_home,4,no,no,2,0,3,6,5.0,7.529856165506394,9.289229480596394
1,GP,F,17,other,at_home,3,yes,no,2,0,3,4,5.0,7.192039316234595,9.424835004292369
2,GP,F,15,other,at_home,2,yes,no,2,3,3,10,3.8077026353251937,8.0,7.354028921610933
3,GP,F,15,services,health,2,yes,yes,3,0,5,2,15.0,16.37320804319268,17.796915575612402
4,GP,F,16,other,other,2,no,no,2,0,5,4,6.0,12.138541748475728,12.800023547934412
5,GP,M,16,other,services,2,yes,no,2,0,5,10,15.0,16.804679575754566,18.34725901060357
6,GP,M,16,other,other,4,yes,no,2,0,3,0,12.0,13.691090558717148,14.187809952191824
7,GP,F,17,teacher,other,4,no,no,2,0,1,6,6.0,6.794184957683807,9.012740445336473
8,GP,M,15,other,services,2,yes,no,2,0,1,0,16.0,19.852952394977795,20.0
9,GP,M,15,other,other,1,yes,no,2,0,5,0,14.0,17.180466385488234,18.073614055571493
10,GP,F,15,health,teacher,3,yes,no,2,0,2,0,10.0,9.609178690686388,11.950917831648521
11,GP,F,15,other,services,2,yes,no,3,0,4,4,10.0,14.612980293393953,15.10478406157752
12,GP,M,15,services,health,3,yes,no,1,0,5,2,14.0,16.114536211005426,16.47888972799838
13,GP,M,15,other,teacher,3,yes,no,2,0,3,2,10.0,11.908666770810623,14.224962196901883
14,GP,M,15,other,other,2,yes,yes,3,0,3,0,14.0,17.247265945760994,19.099867896686273
15,GP,F,16,other,health,4,yes,no,1,0,2,4,14.0,15.830156097183796,16.846808023332215
16,GP,F,16,services,services,3,yes,no,3,0,2,6,13.0,16.1086976602477,16.74756468631513
17,GP,F,16,other,other,2,no,no,2,0,4,4,8.0,11.777374477244523,12.983364847419768
18,GP,M,17,services,services,5,yes,no,1,3,5,16,3.0481159682371044,5.0,2.8010057998606452
19,GP,M,16,other,health,3,yes,no,1,0,5,4,8.0,12.05489223795719,13.130370690035601
20,GP,M,15,other,teacher,1,yes,no,2,0,1,0,13.0,15.839844150207593,18.16587318939347
21,GP,M,15,health,health,2,yes,no,1,0,5,0,12.0,16.881584736532663,17.80456989007576
22,GP,M,16,other,teacher,1,yes,no,2,0,5,2,15.0,17.16700253783381,19.764039174433982
23,GP,M,16,other,other,4,yes,no,2,0,5,0,13.0,15.010067544480538,15.364087674639734
24,GP,F,15,health,services,2,yes,no,3,0,5,2,10.0,10.852907825021072,10.733870815728393
25,GP,F,16,services,services,2,yes,no,1,2,5,14,6.0,9.0,8.0
26,GP,M,15,other,other,2,yes,no,1,0,5,2,12.0,13.997857316289688,13.913668958776285
27,GP,M,15,services,health,4,yes,no,1,0,1,4,15.0,18.27398609204982,17.496193901007523
28,GP,M,16,other,services,3,yes,no,2,0,5,4,11.0,12.805236719815886,14.49702824299397
29,GP,M,16,teacher,teacher,5,yes,yes,2,0,5,16,10.0,13.76729467705148,13.874502608529424
30,GP,M,15,services,health,2,yes,no,2,0,5,0,9.0,13.398835916117921,14.766301146199233
31,GP,M,15,services,services,1,yes,no,2,0,5,0,17.0,17.91871338210213,19.911623707753783
32,GP,M,15,at_home,teacher,2,yes,yes,2,0,5,0,17.0,18.023648305997543,18.778397715197748
33,GP,M,15,other,other,2,yes,no,2,0,2,0,8.0,11.684687505799179,15.076508988148227
34,GP,M,16,other,other,3,yes,no,1,0,5,0,12.0,16.349254009772068,18.211030038191723
35,GP,F,15,other,other,1,no,no,1,0,5,0,8.0,9.515689751061611,9.030833604495847
36,GP,M,15,services,teacher,3,yes,no,3,0,4,2,15.0,18.453946909813233,20.0
37,GP,M,16,teacher,other,3,yes,yes,3,0,5,7,15.0,18.12988490530608,18.127139414240045
38,GP,F,15,health,services,2,yes,no,3,0,5,2,12.0,13.905971737220662,14.672440928622974
39,GP,F,15,other,at_home,1,no,no,1,0,2,8,14.0,15.224890669396359,15.575298645811912
40,GP,F,16,other,other,3,yes,yes,2,1,3,25,7.0,10.0,11.0
41,GP,M,15,other,teacher,3,yes,yes,1,0,5,8,12.0,13.809825421151068,14.79981441819432
42,GP,M,15,teacher,services,3,yes,no,2,0,5,2,19.0,20.0,20.0
43,GP,M,15,services,services,1,yes,no,1,0,1,0,8.0,10.092076828070336,13.88673290828336
44,GP,F,16,at_home,other,3,yes,no,2,1,5,14,10.0,10.0,9.0
45,GP,F,15,other,other,2,yes,yes,2,0,5,8,8.0,10.18165926168136,9.075911633983699
46,GP,F,16,services,other,5,yes,no,2,0,3,12,11.0,13.41420898833635,13.521095364364001
47,GP,M,16,services,health,2,yes,no,4,0,2,4,19.0,20.0,20.0
48,GP,M,15,other,teacher,3,no,no,2,0,5,2,15.0,16.880331337602748,16.855962445336598
49,GP,F,15,teacher,services,4,yes,no,2,1,3,2,7.0,7.0,7.0
50,GP,F,16,services,services,3,yes,no,2,0,4,2,12.0,15.078590504020035,15.906818036189946
51,GP,F,15,other,health,3,yes,no,2,0,5,2,11.0,14.854357078442915,15.939935459723923
52,GP,M,15,health,health,5,no,no,1,1,5,6,11.0,11.0,10.0
53,GP,F,15,services,services,4,yes,no,1,0,5,0,8.0,12.230107885569566,14.13009177161857
54,GP,F,15,other,other,4,yes,no,1,0,1,6,10.0,15.011163488777576,15.191727731603681
55,GP,F,16,other,other,4,yes,yes,2,0,2,8,8.0,10.676834920627588,13.199058844032226
56,GP,F,15,services,services,2,yes,no,2,0,1,0,14.0,16.8454386407103,18.081189210702764
57,GP,M,15,health,teacher,2,no,no,2,0,5,4,14.0,16.968285088930266,17.88252909212501
58,GP,M,15,at_home,other,2,yes,no,2,0,5,2,9.0,11.61346289956994,11.668119507882293
59,GP,F,16,other,services,3,yes,no,2,0,5,2,15.0,18.179415386424733,18.796082030241536
60,GP,F,16,teacher,health,4,no,no,2,0,4,6,10.0,12.789507545768963,14.321762687615601
61,GP,F,16,services,services,5,yes,yes,1,0,5,6,10.0,10.089430229448483,13.958974226122383
62,GP,F,16,services,other,3,yes,no,2,0,1,4,8.0,12.07259939796181,12.356283029893332
63,GP,F,16,health,teacher,4,yes,no,3,0,4,2,10.0,10.717967570182044,11.871236143726556
64,GP,F,15,services,services,4,yes,yes,2,0,2,0,10.0,11.875708972933928,12.998309342696615
65,GP,F,16,services,teacher,3,yes,no,2,0,1,2,16.0,17.232488192555476,17.842431160853906
66,GP,M,15,services,other,3,yes,yes,4,0,3,4,13.0,15.341752738073428,14.948793178323623
67,GP,F,16,other,services,3,yes,no,4,0,5,4,7.0,9.45122214564658,9.047017425064427
68,GP,F,15,services,health,3,yes,no,2,0,4,2,8.0,10.77886103515603,11.642808686198306
69,GP,F,15,other,other,2,yes,no,4,0,3,12,16.0,18.240808818020355,19.234627794954243
70,GP,M,16,other,other,2,yes,no,4,0,5,0,13.0,16.863355339239984,18.44511283186819
71,GP,M,15,other,other,3,yes,no,4,0,3,0,10.0,12.534452743614205,12.994379635504615
72,GP,F,15,other,other,4,yes,yes,2,2,5,2,8.0,6.0,5.0
73,GP,M,16,other,other,2,no,no,1,0,5,2,12.0,14.410121899392657,17.187799931920743
74,GP,F,16,services,other,3,yes,no,2,0,5,54,11.0,13.730292330243472,13.906297297927622
75,GP,M,15,other,teacher,3,yes,no,2,0,5,6,9.0,11.533363483612076,13.399504763178243
76,GP,M,15,other,teacher,3,yes,no,4,0,1,8,11.0,13.003745863835974,13.238713550181085
77,GP,F,16,other,other,3,yes,yes,4,0,3,0,11.0,13.23096191030703,13.65097800102668
78,GP,M,17,other,other,1,yes,no,1,3,3,2,4.631953602497123,8.0,6.9500797520967765
79,GP,F,16,other,at_home,3,yes,no,2,0,3,12,5.0,6.463298625031421,7.964347338851564
80,GP,M,15,services,other,2,yes,yes,1,0,3,2,10.0,14.120075395215887,15.364543027979604
81,GP,M,15,other,other,2,yes,no,3,0,5,4,11.0,11.902941818768607,13.726912098692875
82,GP,F,15,other,services,4,yes,no,2,0,5,10,7.0,8.00962099528484,8.560899516194425
83,GP,M,15,services,services,3,yes,no,2,0,4,4,15.0,16.749373063303636,18.042278509002994
84,GP,F,15,other,other,2,yes,no,2,0,4,2,9.0,12.249134162315194,12.879648892014421
85,GP,F,15,services,services,4,yes,yes,2,2,5,6,7.0,9.0,8.0
86,GP,F,16,other,at_home,4,no,no,2,0,2,4,8.0,9.248300190691811,8.804563379635798
87,GP,F,15,other,other,3,yes,no,3,0,1,4,13.0,15.721038513383174,17.158220896846007
88,GP,M,16,other,services,2,yes,no,2,1,3,12,11.0,10.0,10.0
89,GP,M,16,health,teacher,3,no,no,2,0,5,18,8.0,8.547012504976777,9.902630684872296
